                                                 4                                                  0                                                  8                                                 12                                                 16 
                                                 3                                                  0                                                  4                                                  7                                                  5                                                  1 
                                                 1                                                  5                                                 60                                                 56                                                 52 
                                                 0                                                  3                                                  2                                                  9                                                 11                                                  8 
                                                 3                                                  1                                                 52                                                 55                                                 53                                                  2 
                                                 9                                                  2                                                 53                                                 33                                                 29 
                                                 7                                                  4                                                 16                                                 19                                                 18                                                  6 
                                                 5                                                  7                                                  6                                                 62                                                 63                                                 60 
                                                 6                                                 18                                                 74                                                 70                                                 62 
                                                 8                                                 11                                                 10                                                 13                                                 15                                                 12 
                                                11                                                  9                                                 29                                                 31                                                 30                                                 10 
                                                13                                                 10                                                 30                                                 26                                                 49 
                                                12                                                 15                                                 14                                                 17                                                 19                                                 16 
                                                15                                                 13                                                 49                                                 51                                                 50                                                 14 
                                                17                                                 14                                                 50                                                 46                                                 73 
                                                19                                                 17                                                 73                                                 75                                                 74                                                 18 
                                                20                                                 24                                                 28                                                 32                                                 36 
                                                20                                                 23                                                 21                                                 25                                                 27                                                 24 
                                                25                                                 21                                                 40                                                 44                                                 48 
                                                23                                                 20                                                 36                                                 39                                                 37                                                 22 
                                                21                                                 23                                                 22                                                 42                                                 43                                                 40 
                                                22                                                 37                                                 76                                                 65                                                 42 
                                                24                                                 27                                                 26                                                 30                                                 31                                                 28 
                                                27                                                 25                                                 48                                                 51                                                 49                                                 26 
                                                28                                                 31                                                 29                                                 33                                                 35                                                 32 
                                                32                                                 35                                                 34                                                 38                                                 39                                                 36 
                                                35                                                 33                                                 53                                                 55                                                 54                                                 34 
                                                38                                                 34                                                 54                                                 58                                                 78 
                                                37                                                 39                                                 38                                                 78                                                 79                                                 76 
                                                40                                                 43                                                 41                                                 45                                                 47                                                 44 
                                                45                                                 41                                                 64                                                 68                                                 72 
                                                41                                                 43                                                 42                                                 65                                                 67                                                 64 
                                                44                                                 47                                                 46                                                 50                                                 51                                                 48 
                                                47                                                 45                                                 72                                                 75                                                 73                                                 46 
                                                55                                                 52                                                 56                                                 59                                                 58                                                 54 
                                                59                                                 56                                                 60                                                 63                                                 61                                                 57 
                                                57                                                 61                                                 69                                                 66                                                 77 
                                                59                                                 57                                                 77                                                 79                                                 78                                                 58 
                                                61                                                 63                                                 62                                                 70                                                 71                                                 69 
                                                64                                                 67                                                 66                                                 69                                                 71                                                 68 
                                                67                                                 65                                                 76                                                 79                                                 77                                                 66 
                                                68                                                 71                                                 70                                                 74                                                 75                                                 72 
