                                                 3                                                  1                                                  6                                                  9                                                 12 
                                                 3                                                  0                                                  4                                                  2                                                  6                                                  7 
                                                 4                                                  1                                                  7                                                 34                                                 35 
                                                 0                                                  1                                                  5                                                  4                                                  9                                                 10 
                                                 1                                                  2                                                  5                                                  3                                                 34                                                 26 
                                                 3                                                  4                                                 10                                                 24                                                 26 
                                                 0                                                  1                                                  8                                                  7                                                 12                                                 15 
                                                 1                                                  2                                                  8                                                  6                                                 35                                                 38 
                                                 6                                                  7                                                 15                                                 38                                                 41 
                                                 0                                                  3                                                 11                                                 10                                                 12                                                 13 
                                                 3                                                  5                                                 11                                                  9                                                 24                                                 22 
                                                 9                                                 10                                                 13                                                 22                                                 23 
                                                 0                                                  9                                                 14                                                 13                                                  6                                                 15 
                                                 9                                                 11                                                 14                                                 12                                                 23                                                 32 
                                                12                                                 13                                                 15                                                 32                                                 33 
                                                12                                                 14                                                  8                                                  6                                                 33                                                 41 
                                                19                                                 17                                                 22                                                 24                                                 25 
                                                19                                                 16                                                 20                                                 18                                                 22                                                 23 
                                                20                                                 17                                                 23                                                 29                                                 32 
                                                16                                                 17                                                 21                                                 20                                                 25                                                 28 
                                                17                                                 18                                                 21                                                 19                                                 29                                                 31 
                                                19                                                 20                                                 28                                                 31                                                 40 
                                                16                                                 17                                                 11                                                 23                                                 24                                                 10 
                                                17                                                 18                                                 11                                                 22                                                 32                                                 13 
                                                22                                                 16                                                 10                                                  5                                                 25                                                 26 
                                                16                                                 24                                                 27                                                 26                                                 19                                                 28 
                                                24                                                  5                                                 27                                                 25                                                  4                                                 34 
                                                25                                                 26                                                 28                                                 34                                                 37 
                                                19                                                 21                                                 27                                                 25                                                 40                                                 37 
                                                20                                                 18                                                 31                                                 30                                                 32                                                 33 
                                                31                                                 29                                                 33                                                 39                                                 41 
                                                29                                                 30                                                 21                                                 20                                                 39                                                 40 
                                                18                                                 29                                                 14                                                 33                                                 23                                                 13 
                                                29                                                 30                                                 14                                                 32                                                 41                                                 15 
                                                 2                                                  4                                                 27                                                 26                                                 35                                                 37 
                                                34                                                  2                                                 37                                                 36                                                  7                                                 38 
                                                37                                                 35                                                 38                                                 39                                                 40 
                                                35                                                 36                                                 27                                                 34                                                 40                                                 28 
                                                35                                                 36                                                  8                                                  7                                                 39                                                 41 
                                                30                                                 31                                                 36                                                 40                                                 41                                                 38 
                                                31                                                 21                                                 36                                                 39                                                 28                                                 37 
                                                30                                                 39                                                  8                                                 38                                                 33                                                 15 
