# jj_ensembles_claude.txt
# Master manifest of interacting SEA ensembles for JJ current-correlator work.
# Union of LOCAL (barracuda22) and REMOTE (Fermilab, per fermilab_dirs.txt 2026-07-02).
# jj data is to be (re)generated with the LATEST code; "existing_jj" is informational only.
#
# Columns (whitespace-separated; col 1 = ensemble basename; remote ABS paths -> fermilab_dirs.txt):
#   ensemble     directory basename (contains ckpoint_lat.<k>)
#   loc          configs present LOCALLY now? (Y/N)
#   origin       where the HMC was generated: FNAL | local  (FNAL = listed in fermilab_dirs.txt)
#   src_ncfg     total ckpoint_lat configs present (LOCAL count for loc=Y; REMOTE on-disk count for loc=N)
#   kmin kmax    first/last config index on the jj-corr grid  (loc=N rows filled from fermilab_ncfg_claude.txt)
#   intv         jj-corr sampling stride (L1=8, L2/L4=4)
#   ncfg         number of configs on the jj-corr grid (kmin : intv : kmax)
#   existing_jj  on-disk LOCAL jj corr ("-"=none, "ylm:N", "dil:N", "?"=unknown/not local). REMOTE has NO jj corr yet (ensemble-gen only), so loc=N stays "?".
#
# Counts: 52 FNAL+local, 50 FNAL remote-only (loc=N, need pull), 28 local-only (candidates to push).
# NOTE: mIm!=0 (parity) ensembles are OUT of jj scope (NM 2026-07-02: no analysis planned on them);
#   programs assert !parity, and the tilde-D backward leg is NOT needed for this work. Still generated (reference).
# REMOTE-only rows: kmin/kmax/ncfg/src_ncfg FILLED by REMOTE 2026-07-02 from on-disk ckpoint counts
#   (storage is contiguous: kmin=1, stride 1, so kmax=ncfg). Source of truth: companion fermilab_ncfg_claude.txt.
#
# ensemble                                                             loc origin src_ncfg   kmin   kmax  intv   ncfg  existing_jj
  Nf2_gsq1.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf4_gsq1.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf6_gsq1.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf2_gsq2.000000at0.200000nu01.000000nt128L1                          Y   local  4440    40 4440     8      551  dil:68
  Nf4_gsq2.000000at0.200000nu01.000000nt128L1                          Y   local  5899    40 5896     8      733  -
  Nf6_gsq2.000000at0.200000nu01.000000nt128L1                          Y   local  5538    40 5536     8      688  -
  Nf4_gsq2.200000at0.200000nu01.000000nt128L1                          Y   local  2092    40 2088     8      257  -
  Nf2_gsq2.400000at0.200000nu01.000000nt128L1                          Y   local  1418    40 1416     8      173  -
  Nf6_gsq2.400000at0.200000nu01.000000nt128L1                          Y   local  1264    40 1264     8      154  -
  Nf2_gsq2.500000at0.200000nu01.000000nt128L1                          Y   local  2723    40 2720     8      336  -
  Nf4_gsq2.500000at0.200000nu01.000000nt128L1                          Y   local  1099    40 1096     8      133  -
  Nf2_gsq4.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf4_gsq4.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf6_gsq4.000000at0.200000nu01.000000nt128L1                          Y   local   319    40  312     8       35  -
  Nf2_gsq8.000000at0.200000nu01.000000nt128L1                          Y   local  3426    40 3424     8      424  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000nt128L2                          Y   local  1601    40 1600     4      391  ylm:140
  Nf2_gsq8.000000at0.200000nu01.000000nt128L4                          Y   local   168    40  168     4       33  -
  Nf4_gsq8.000000at0.200000nu01.000000nt128L1                          Y   local  3557    40 3552     8      440  ylm:140
